n,tipo,dominio,muestra,algoritmo,tiempo_ms
16,dispersa,D0,a,naive,0.0042
16,dispersa,D0,a,strassen,1.2629
16,dispersa,D0,b,naive,0.003
16,dispersa,D0,b,strassen,1.2659
16,dispersa,D0,c,naive,0.0029
16,dispersa,D0,c,strassen,1.2281
16,dispersa,D10,a,naive,0.0031
16,dispersa,D10,a,strassen,1.3335
16,dispersa,D10,b,naive,0.0034
16,dispersa,D10,b,strassen,1.5321
16,dispersa,D10,c,naive,0.003
16,dispersa,D10,c,strassen,1.2548
16,diagonal,D0,a,naive,0.0028
16,diagonal,D0,a,strassen,1.2384
16,diagonal,D0,b,naive,0.0028
16,diagonal,D0,b,strassen,1.2325
16,diagonal,D0,c,naive,0.0032
16,diagonal,D0,c,strassen,1.4827
16,diagonal,D10,a,naive,0.0043
16,diagonal,D10,a,strassen,1.4707
16,diagonal,D10,b,naive,0.0045
16,diagonal,D10,b,strassen,1.2721
16,diagonal,D10,c,naive,0.0029
16,diagonal,D10,c,strassen,1.2526
16,densa,D0,a,naive,0.006
16,densa,D0,a,strassen,2.0747
16,densa,D0,b,naive,0.0032
16,densa,D0,b,strassen,1.3468
16,densa,D0,c,naive,0.0042
16,densa,D0,c,strassen,1.2428
16,densa,D10,a,naive,0.0044
16,densa,D10,a,strassen,1.2612
16,densa,D10,b,naive,0.0031
16,densa,D10,b,strassen,1.4821
16,densa,D10,c,naive,0.003
16,densa,D10,c,strassen,1.2432
64,dispersa,D0,a,naive,0.0571
64,dispersa,D0,a,strassen,61.0713
64,dispersa,D0,b,naive,0.0503
64,dispersa,D0,b,strassen,60.5208
64,dispersa,D0,c,naive,0.0735
64,dispersa,D0,c,strassen,61.5265
64,dispersa,D10,a,naive,0.0864
64,dispersa,D10,a,strassen,63.3476
64,dispersa,D10,b,naive,0.0753
64,dispersa,D10,b,strassen,61.5128
64,dispersa,D10,c,naive,0.0501
64,dispersa,D10,c,strassen,64.2014
64,diagonal,D0,a,naive,0.0506
64,diagonal,D0,a,strassen,60.8371
64,diagonal,D0,b,naive,0.0712
64,diagonal,D0,b,strassen,61.9639
64,diagonal,D0,c,naive,0.0716
64,diagonal,D0,c,strassen,61.0979
64,diagonal,D10,a,naive,0.0849
