n,tipo,dominio,muestra,algoritmo,tiempo_ms
10,ascendente,D1,a,sort,0.8258
10,ascendente,D1,a,mergesort,0.1648
10,ascendente,D1,a,quicksort,0.147
10,ascendente,D1,a,patiencesort,0.1207
10,ascendente,D1,b,sort,0.1961
10,ascendente,D1,b,mergesort,0.1721
10,ascendente,D1,b,quicksort,0.1951
10,ascendente,D1,b,patiencesort,0.2133
10,ascendente,D1,c,sort,0.1905
10,ascendente,D1,c,mergesort,0.1737
10,ascendente,D1,c,quicksort,0.1743
10,ascendente,D1,c,patiencesort,0.1539
10,ascendente,D7,a,sort,0.2079
10,ascendente,D7,a,mergesort,0.1846
10,ascendente,D7,a,quicksort,0.1481
10,ascendente,D7,a,patiencesort,0.2158
10,ascendente,D7,b,sort,0.1675
10,ascendente,D7,b,mergesort,0.2871
10,ascendente,D7,b,quicksort,0.1574
10,ascendente,D7,b,patiencesort,0.1726
10,ascendente,D7,c,sort,0.1595
10,ascendente,D7,c,mergesort,0.2062
10,ascendente,D7,c,quicksort,0.1704
10,ascendente,D7,c,patiencesort,0.1929
10,descendente,D1,a,sort,0.1587
10,descendente,D1,a,mergesort,0.1647
10,descendente,D1,a,quicksort,0.1715
10,descendente,D1,a,patiencesort,0.23
10,descendente,D1,b,sort,0.1769
10,descendente,D1,b,mergesort,0.2529
10,descendente,D1,b,quicksort,0.1585
10,descendente,D1,b,patiencesort,0.1672
10,descendente,D1,c,sort,0.1695
10,descendente,D1,c,mergesort,0.1622
10,descendente,D1,c,quicksort,0.2038
10,descendente,D1,c,patiencesort,0.2216
10,descendente,D7,a,sort,0.1926
10,descendente,D7,a,mergesort,0.1648
10,descendente,D7,a,quicksort,0.2344
10,descendente,D7,a,patiencesort,0.2902
10,descendente,D7,b,sort,0.1883
10,descendente,D7,b,mergesort,0.152
10,descendente,D7,b,quicksort,0.2542
10,descendente,D7,b,patiencesort,0.2254
10,descendente,D7,c,sort,0.2572
10,descendente,D7,c,mergesort,0.2203
10,descendente,D7,c,quicksort,0.1565
10,descendente,D7,c,patiencesort,0.1729
10,aleatorio,D1,a,sort,0.2106
10,aleatorio,D1,a,mergesort,0.1846
10,aleatorio,D1,a,quicksort,0.2455
10,aleatorio,D1,a,patiencesort,0.249
10,aleatorio,D1,b,sort,0.1284
10,aleatorio,D1,b,mergesort,0.147
10,aleatorio,D1,b,quicksort,0.2048
10,aleatorio,D1,b,patiencesort,0.2347
10,aleatorio,D1,c,sort,0.2053
10,aleatorio,D1,c,mergesort,0.1354
10,aleatorio,D1,c,quicksort,0.1353
10,aleatorio,D1,c,patiencesort,0.1706
10,aleatorio,D7,a,sort,0.1851
10,aleatorio,D7,a,mergesort,0.1549
10,aleatorio,D7,a,quicksort,0.1842
10,aleatorio,D7,a,patiencesort,0.1362
10,aleatorio,D7,b,sort,0.14
10,aleatorio,D7,b,mergesort,0.1461
10,aleatorio,D7,b,quicksort,0.1736
10,aleatorio,D7,b,patiencesort,0.1909
10,aleatorio,D7,c,sort,0.3443
10,aleatorio,D7,c,mergesort,0.2014
10,aleatorio,D7,c,quicksort,0.1893
10,aleatorio,D7,c,patiencesort,0.171
1000,ascendente,D1,a,sort,0.2113
1000,ascendente,D1,a,mergesort,0.2291
1000,ascendente,D1,a,quicksort,0.2042
1000,ascendente,D1,a,patiencesort,0.1666
1000,ascendente,D1,b,sort,0.1393
